"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi2","roi3","cutoff","roi"
"769","Amasaki15","Amasaki15-NB","NETGENE-jackrabbit.csv",127,91,64,7,0.721590909090909,0.575209652878525,0.587096774193548,0.8,0.754325259515571,0.947761194029851,0.417795855635604,5,0.000831376191756059,0.577451017411321,0.032677290972892,0.0173010380622837,0.0480535438835002,0.0288335948462216,1.21951462633405,1.22004150032501,80,1.2564357113515
"770","Amasaki15","Amasaki15-NB","NETGENE-lucene.csv",171,582,109,38,0.355509355509356,0.264491776759234,0.842257597684515,0.799921230211136,0.836666666666667,0.818181818181818,-0.0275002326829371,0,0,0.0629159321298862,0,0,0,0,0.999862970687615,1.00011508812119,80,0.977906555595798
"771","Amasaki15","Amasaki15-NB","NETGENE-rhino.csv",71,96,4,10,0.57258064516129,0.0765086206896552,0.96,0.79984845835519,0.922651933701657,0.876543209876543,-0.15533951078654,0,0,1.21733121452093,0,0,0,0,1.01775676094896,1.02035318784097,80,0.950025874177571
"772","Amasaki15","Amasaki15-NB","RELINK-Apache2.0.csv",87,62,34,11,0.704453441295547,0.506333447449503,0.645833333333333,0.7997628550911,0.768041237113402,0.887755102040816,0.286565703457246,0,0,1.33087423892469,0,0,0,0,1.13248218505736,1.13271406427474,80,1.15586905903301
"773","Amasaki15","Amasaki15-NB","RELINK-openintents.csv",17,23,11,5,0.548387096774194,0.45609756097561,0.676470588235294,0.799563212812424,0.714285714285714,0.772727272727273,0.104061890264148,0,0,4.59935310317014,0,0,0,0,1.02087765680621,1.02250127022676,80,1.08181818181818
"774","Amasaki15","Amasaki15-NB","RELINK-zxing1.6.csv",100,230,51,18,0.446428571428571,0.298962424526643,0.818505338078292,0.799937553664819,0.827067669172932,0.847457627118644,0.0349377999781602,0,0,7.03842324014065,0,0,0,0,1.04173928297605,1.04188414182029,80,1.02465331278891
"775","Amasaki15","Amasaki15-NB","AEEEM-eclipse.csv",202,791,0,4,0.336947456213511,0,1,0.883769610140367,0.995987963891675,0.980582524271845,-0.12436838734731,0,0,0.915537034091693,0,0,0,0,1.04330743263719,1.04517153234675,90,0.98453250422863
"776","Amasaki15","Amasaki15-NB","AEEEM-equinox.csv",126,195,0,3,0.56,0,1,0.879040825618455,0.990740740740741,0.976744186046512,-0.118858586633886,0,0,2.86578883632543,0,0,0,0,1.04476822706987,1.04663752378311,90,0.985872636383395
"777","Amasaki15","Amasaki15-NB","AEEEM-lucene.csv",63,625,2,1,0.167553191489362,0.00635897953518884,0.996810207336523,0.897163314385658,0.995658465991317,0.984375,-0.0548304666064191,0,0,0.783512097175316,0,0,0,0,1.04011377109571,1.04152482686274,90,0.988667332848837
"778","Amasaki15","Amasaki15-NB","AEEEM-mylyn.csv",242,1614,3,3,0.230366492146597,0.00370361868031809,0.998144712430427,0.892954606603375,0.996777658431794,0.987755102040816,-0.0619687452821947,7,9.31288131155424e-05,1.42598426721365,0.0142658313924874,0.0037593984962406,0.0247722642887343,0.00965032709888854,1.04539158304781,1.04697290598336,90,0.990948275862068
